No.,Time,Source,Destination,Protocol,Length,Info
13149,15.810955,DESKTOP-EB9QDOJ.local,http://torcache.net/torrent/0BBCA7584749D4E741747E32E6EB588AEA03E40F.torrent?title=[kickass.to]the.avengers.2012.720p.bluray.x264.yify,TCP,66,62927  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13260,15.811716,DESKTOP-EB9QDOJ.local,sportsillustrated.cnn.com/baseball/mlb/stats/alltime/rosters/oakland_athletics/2009/byPOSN_ABRV.html,TCP,66,62928  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13261,15.813638,DESKTOP-EB9QDOJ.local,myspace.com/thejeandormessondiscosuicide,TCP,66,62929  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13734,15.814338,DESKTOP-EB9QDOJ.local,job-applications.com/safeway-application/,TCP,66,62930  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13735,15.81547,DESKTOP-EB9QDOJ.local,bowiestate.edu/Athletics/,TCP,66,62931  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13834,15.816234,DESKTOP-EB9QDOJ.local,ulocal.wmur.com/_Staff-Sergeant-Jeff-Turcotte-US-Army/photo/15457814/63455.html?as=63455,TCP,66,62932  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14327,15.852855,DESKTOP-EB9QDOJ.local,apartmentratings.com/rate/TX-Dallas-Grand-Estates-at-Kessler-Park-formerly-Jefferson-at-Kessler-Park.html,TCP,66,62933  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14349,15.853597,DESKTOP-EB9QDOJ.local,spoke.com/info/pEro3UG/ChrisWebb,TCP,66,62934  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14453,16.023294,DESKTOP-EB9QDOJ.local,imdb.com/title/tt1231460/,TCP,66,62935  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
14987,16.024222,DESKTOP-EB9QDOJ.local,news.yahoo.com/scott-tucker-earns-pole-position-sets-record-scca-210206387.html,TCP,66,62936  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15007,16.304559,DESKTOP-EB9QDOJ.local,healthgrades.com/dentist/dr-eric-schall-xd257/patient-ratings,TCP,66,62937  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15065,16.313263,DESKTOP-EB9QDOJ.local,youtube.com/watch?v=oEE-XKxmaoA,TCP,66,62938  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15426,16.989125,DESKTOP-EB9QDOJ.local,answers.com/topic/pornography,TCP,66,62939  >  5228 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
15659,16.989372,DESKTOP-EB9QDOJ.local,dvd-copy.com/people/Marla-Shapiro/1717778/bio.htm,TCP,66,62940  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
